N,version,run,kernel_ms
1000,scalar,1,0.009919
1000,scalar,2,0.009889
1000,scalar,3,0.009889
1000,scalar,4,0.011031
1000,scalar,5,0.010660
1000,scalar,6,0.009919
1000,scalar,7,0.009909
1000,scalar,8,0.009899
1000,scalar,9,0.009909
1000,scalar,10,0.009899
1000,scalar,11,0.009900
1000,scalar,12,0.009899
1000,scalar,13,0.009899
1000,scalar,14,0.009909
1000,scalar,15,0.009899
1000,scalar,16,0.009900
1000,scalar,17,0.009879
1000,scalar,18,0.010971
1000,scalar,19,0.009899
1000,scalar,20,0.009900
1000,scalar,21,0.009899
1000,scalar,22,0.009889
1000,scalar,23,0.009899
1000,scalar,24,0.009889
1000,scalar,25,0.009890
1000,scalar,26,0.009889
1000,scalar,27,0.009899
1000,scalar,28,0.009889
1000,scalar,29,0.009889
1000,scalar,30,0.009899
1000,vector,1,0.001493
1000,vector,2,0.001463
1000,vector,3,0.001463
1000,vector,4,0.001453
1000,vector,5,0.001523
1000,vector,6,0.001483
1000,vector,7,0.001493
1000,vector,8,0.001483
1000,vector,9,0.001493
1000,vector,10,0.001483
1000,vector,11,0.001492
1000,vector,12,0.001453
1000,vector,13,0.001483
1000,vector,14,0.001493
1000,vector,15,0.001493
1000,vector,16,0.001493
1000,vector,17,0.001473
1000,vector,18,0.001463
1000,vector,19,0.001483
1000,vector,20,0.001463
1000,vector,21,0.001543
1000,vector,22,0.001493
1000,vector,23,0.001493
1000,vector,24,0.001603
1000,vector,25,0.001493
1000,vector,26,0.001503
1000,vector,27,0.001503
1000,vector,28,0.001493
1000,vector,29,0.001483
1000,vector,30,0.001493
100000,scalar,1,0.957903
100000,scalar,2,1.155494
100000,scalar,3,1.049379
100000,scalar,4,0.953223
100000,scalar,5,0.969435
100000,scalar,6,0.952062
100000,scalar,7,0.957241
100000,scalar,8,0.956110
100000,scalar,9,0.953404
100000,scalar,10,0.944086
100000,scalar,11,0.959516
100000,scalar,12,0.955938
100000,scalar,13,0.952562
100000,scalar,14,0.980988
100000,scalar,15,0.951510
100000,scalar,16,0.957122
100000,scalar,17,0.943856
100000,scalar,18,0.974445
100000,scalar,19,0.943946
100000,scalar,20,0.973624
100000,scalar,21,0.958314
100000,scalar,22,0.950659
100000,scalar,23,0.951060
100000,scalar,24,0.943776
100000,scalar,25,0.950278
100000,scalar,26,0.961600
100000,scalar,27,0.955218
100000,scalar,28,0.953564
100000,scalar,29,1.032997
100000,scalar,30,0.953684
100000,vector,1,0.114792
100000,vector,2,0.112728
100000,vector,3,0.138127
100000,vector,4,0.114501
100000,vector,5,0.117567
100000,vector,6,0.112488
